,start_longitude,start_latitude,end_longitude,end_latitude,start_longitude_utm,start_latitude_utm,end_longitude_utm,end_latitude_utm,hour,daytype
38354,4.94027,52.35477,4.892180000000001,52.40358,124551.44468954433,485301.5490158538,121312.31963832708,490753.594660081,23,weekday
38345,4.93014,52.36067,4.91702,52.36932,123865.45806440688,485962.30425132904,122977.99536072774,486930.4464714811,23,weekday
38351,4.8891800000000005,52.37225,4.83985,52.368159999999996,121084.20662927204,487269.1120063398,117721.40583156922,486838.27733844717,23,weekday
38353,4.94653,52.35295,4.8800300000000005,52.35174,124976.68861613676,485096.439087918,120445.12343820545,484991.4348946057,23,weekday
38350,4.85914,52.36972,4.82026,52.38173,119036.43572748342,487002.0995609975,116399.02293139618,488358.3672359447,23,weekday
40120,4.89274,52.377309999999994,4.8702,52.37364,121330.48368567374,487830.44326394127,119792.7741377338,487432.8190746443,23,weekday
40134,4.87753,52.363459999999996,4.9221,52.34597,120283.96487499568,486296.62745697814,123307.29532307142,484330.2246147865,23,weekday
40129,4.92242,52.41355,4.87873,52.36535,123377.32460675287,491849.2676309787,120367.17627468737,486506.33996776293,23,weekday
40123,4.87451,52.36403,4.84604,52.34198,120078.7111450259,486361.49807938264,118121.2327425543,483922.26407445304,23,weekday
40127,4.9602699999999995,52.31923,4.81974,52.3766,125890.69732489093,481339.0582007723,116359.1490067713,487787.8670610896,23,weekday
40116,4.8905199999999995,52.3625,4.82026,52.37704,121168.02599466422,486183.6722396045,116394.94033047916,487836.5454500635,23,weekday
40125,4.87144,52.38428,4.9215800000000005,52.35027,119885.64093062708,488616.0561574173,123274.9356026949,484808.8817782903,23,weekday
40122,4.9370400000000005,52.35099,4.98843,52.35901,124328.78253077279,484882.3368987055,127835.04044805192,485754.165163915,23,weekday
40128,4.86529,52.365840000000006,4.92583,52.35908,119452.16449908195,486567.3660140881,123570.74387772285,485787.25620547,23,weekday
40119,4.89944,52.36932,4.8467400000000005,52.383359999999996,121780.71803693267,486938.35918624746,118203.26907903003,488525.9497303604,23,weekday
40126,4.88242,52.39103,4.88439,52.37676,120638.40635233355,489361.8196909284,120761.489608799,487773.1607390223,23,weekday
40117,4.92758,52.35167,4.94161,52.34847,123684.72635118966,484962.04057646234,124638.42577736435,484600.03050358326,23,weekday
40131,4.90273,52.36992,4.9295800000000005,52.397490000000005,122005.22804589654,487003.6141059234,123853.18137048322,490059.2657504085,23,weekday
40130,4.92253,52.41336,4.876,52.35528,123384.6730550822,491828.0794279068,120173.33198219555,485387.2330599675,23,weekday
40137,4.87366,52.3653,4.82057,52.38169,120021.81679609044,486503.21165585634,116420.09449143003,488353.7516398358,23,weekday
40136,4.93192,52.36201,4.95409,52.30715,123987.64445107561,486110.6336529679,125461.30602694885,479997.5103855805,23,weekday
40135,4.91169,52.35787,4.93848,52.37717,122606.63982407138,485658.8535417476,124444.92777423754,487794.5987906404,23,weekday
40141,4.88126,52.37141,4.91547,52.36101,120544.20286153635,487179.3870353193,122866.4152983168,486006.5364666393,23,weekday
41893,4.93224,52.37523,4.99408,52.359970000000004,124018.6750624096,487581.39690127247,128220.5015669408,485858.87562791666,23,weekday
41907,4.9276,52.3552,4.85902,52.37287,123688.57941312317,485354.78988771944,119030.81766848957,487352.6368518956,23,weekday
41903,4.858619999999999,52.34949,4.945069999999999,52.37725,118984.60592123342,484751.5171895657,124893.71229153563,487800.7418778103,23,weekday
41916,4.8911,52.375029999999995,4.92927,52.39733,121217.07591341788,487577.5265435656,123831.9698515268,490041.5968240345,23,weekday
41921,4.86032,52.3034,4.90755,52.345240000000004,119063.16359264165,479622.6178265924,122315.3150751117,484255.4640380029,23,weekday
41900,4.89728,52.35597,4.92941,52.397459999999995,121623.57170489337,485453.99215144856,123841.58985510418,490056.00091971486,23,weekday
41928,4.86037,52.30315,4.90333,52.373459999999994,119066.37175348809,479594.77772234345,122048.71993523426,487397.2125421056,23,weekday
41913,4.8560300000000005,52.37875,4.87969,52.36521,118831.9975032499,488008.35064364714,120432.45325541048,486490.3048651537,23,weekday
41926,4.90373,52.3447,4.9222,52.346000000000004,122054.61388454953,484197.11160596745,123314.13077870934,484333.5187776879,23,weekday
41901,4.93182,52.362840000000006,4.9267,52.378440000000005,123981.41309312385,486203.02482240665,123643.69532149949,487940.93510064733,23,weekday
41904,4.89432,52.37838,4.82801,52.3581,121438.87903260461,487948.76198013144,116906.3950218965,485725.1344285487,23,weekday
41914,4.87996,52.36647,4.9591,52.318670000000004,120451.82433852885,486630.36726321914,125810.55690461223,481277.2216906491,23,weekday
41922,4.86037,52.30312,4.90321,52.35426,119066.34749976943,479591.4398836761,122026.28235749033,485261.01869991416,23,weekday
41912,4.90592,52.37403,4.91392,52.40871,122225.51528665618,487459.4581012715,122795.49562529351,491314.4932212522,23,weekday
41911,4.84241,52.37957,4.89088,52.345890000000004,117905.300914324,488106.4709832035,121179.89229819895,484335.4319230097,23,weekday
41917,4.87745,52.366279999999996,4.86105,52.36531,120280.72266795824,486610.42679329275,119162.95146102244,486510.4849307679,23,weekday
41924,4.89041,52.37678,4.95022,52.354659999999996,121171.4246842046,487772.5588687963,125229.23466311618,485285.17687635444,23,weekday
41931,4.92951,52.37896,4.86966,52.36906,123835.39528161779,487997.5799977846,119752.36222588108,486923.4976670919,23,weekday
44034,4.88553,52.38588,4.87459,52.35131,120846.14033776341,488787.34315604146,120074.15041864352,484946.1994128328,23,weekday
44041,4.85364,52.37084,4.99401,52.35604,118662.78306714009,487129.4573368997,128213.36129011986,485421.63634089485,23,weekday
44023,4.8989400000000005,52.347559999999994,4.95641,52.320879999999995,121730.35581923396,484517.51025547145,125628.6070604299,481524.19782924996,23,weekday
44027,4.93049,52.36169,5.0035,52.35242,123890.01445165846,486075.64229230373,128857.7380070334,485015.3983683754,23,weekday
44025,4.85323,52.35783,4.82725,52.35443,118624.196106235,485682.1369367008,116851.46799426248,485317.2019535628,23,weekday
44014,4.9474,52.356770000000004,4.9221900000000005,52.345909999999996,125038.5404576099,485521.1038995446,123313.38513522704,484323.5095084176,23,weekday
44029,4.88778,52.35051,4.83062,52.36314,120972.19882874154,484850.9154812285,117088.49831629402,486284.5278335798,23,weekday
44040,4.87306,52.37793,4.819719999999999,52.37661,119990.9200243924,487908.75168679445,116357.79586157206,487788.9903514166,23,weekday
44053,4.94719,52.3025,4.87812,52.3769,124987.58537776441,479482.97570074553,120334.65614123689,487791.7183187132,23,weekday
44038,4.89508,52.35269,4.93115,52.37061,121471.21893046095,485090.0659544644,123941.21624743094,487067.826808647,23,weekday
44039,4.85741,52.36464,4.93757,52.35528,118914.48448953523,486437.74511094205,124367.8538317051,485359.4307647874,23,weekday
